trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
924,False,"{'a': 0.002, 'e': 0.1578673745550876}",20,8,13.436072550874169,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.002, 'e': 0.15755195533034191}",25,10,1.9279548421208965,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
926,False,"{'a': 0.002, 'e': 0.1572371663136276}",25,11,11.328219401240098,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.002, 'e': 0.1569230062457882}",20,12,14.417637404107293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.002, 'e': 0.156609473870183}",25,8,-19.474403722058454,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
929,False,"{'a': 0.002, 'e': 0.15629656793268212}",20,10,15.844738240717946,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.002, 'e': 0.15598428718166135}",25,6,23.840390601116813,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.002, 'e': 0.1556726303679973}",20,3,25.705565980116614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.002, 'e': 0.15536159624506227}",20,5,16.848138219259255,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.002, 'e': 0.15505118356871936}",30,12,-24.37076760480355,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
934,False,"{'a': 0.002, 'e': 0.1547413910973175}",25,2,31.73555807045356,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.002, 'e': 0.15443221759168632}",35,18,17.130963844527333,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
936,False,"{'a': 0.002, 'e': 0.1541236618151314}",25,16,19.153685918326566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.002, 'e': 0.15381572253342926}",20,10,21.67417078841827,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
938,False,"{'a': 0.002, 'e': 0.15350839851482234}",20,10,-1.6870361687886704,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
939,False,"{'a': 0.002, 'e': 0.15320168853001417}",25,20,9.562558756788388,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
940,False,"{'a': 0.002, 'e': 0.15289559135216438}",20,4,24.443250370409583,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
941,False,"{'a': 0.002, 'e': 0.15259010575688386}",20,0,12.731812733781226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
942,False,"{'a': 0.002, 'e': 0.1522852305222298}",25,13,13.065975831102667,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.002, 'e': 0.1519809644287009}",20,1,18.345104434579856,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
944,False,"{'a': 0.002, 'e': 0.15167730625923234}",20,9,-13.68760364854879,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
945,False,"{'a': 0.002, 'e': 0.1513742547991911}",20,11,14.681021564031823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.002, 'e': 0.15107180883637084}",20,11,14.699312519376337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.002, 'e': 0.15076996716098734}",25,19,1.2798518527874676,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
948,False,"{'a': 0.002, 'e': 0.15046872856567356}",20,9,22.925312636712917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.002, 'e': 0.15016809184547464}",20,16,9.000856029103115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.002, 'e': 0.14986805579784332}",20,12,-26.212406363843925,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
951,False,"{'a': 0.002, 'e': 0.14956861922263504}",20,16,8.621981740226943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.002, 'e': 0.14926978092210305}",20,7,14.101407489401932,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.002, 'e': 0.1489715397008938}",20,16,6.009100059860862,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.002, 'e': 0.14867389436604195}",25,11,7.551891370084292,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
955,False,"{'a': 0.002, 'e': 0.14837684372696583}",20,16,7.273853199021865,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.002, 'e': 0.14808038659546244}",20,14,6.044743911416218,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.002, 'e': 0.14778452178570287}",30,0,1.8015296176296813,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
958,False,"{'a': 0.002, 'e': 0.14748924811422748}",25,12,-8.534372848160139,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
959,False,"{'a': 0.002, 'e': 0.14719456439994122}",20,9,21.1957913575112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
